fecha_obs,secuencia,x_ll,y_ll,error
2010-03-25 04:42:30,41,-14.92,33.42,7.6
2010-03-25 04:42:30,37,-14.8,34.24,7.6
2010-03-25 04:42:30,36,-14.49,33.97,7.6
2010-03-25 04:42:30,35,-14.83,34.29,11.4
2010-03-25 04:42:30,29,-14.51,35.06,11.4
2010-03-25 04:42:30,28,-14.33,34.93,7.6
2010-03-25 04:42:30,22,-11.3,35.33,25.63
2010-03-25 04:42:30,11,13.98,45.97,7.6
2010-03-25 04:42:30,10,13.93,45.97,7.6
2010-03-25 04:42:30,9,12.94,45.98,7.6
2010-03-25 04:42:30,8,13.24,45.76,5.07
2010-03-25 04:42:30,7,12.97,46,7.6
2010-03-25 04:42:30,6,12.88,45.98,11.4
2010-03-25 04:42:30,5,12.95,46,11.4
2010-03-25 04:42:30,4,12.98,46,7.6
2010-03-25 04:42:30,3,12.92,45.98,11.4
2010-03-25 04:42:30,2,-2.5,46.7,1.5
2010-03-25 04:42:30,1,-12.89,51.58,3.38
2010-03-25 03:57:30,29,-13.17,32.69,17.09
2010-03-25 03:57:30,25,-13.67,33.32,7.6
2010-03-25 03:57:30,24,-14.11,33.47,11.4
2010-03-25 03:57:30,23,-14.33,33.31,5.07
2010-03-25 03:57:30,22,-14.38,33.56,5.07
2010-03-25 03:57:30,21,-14.7,33.72,11.4
2010-03-25 03:57:30,16,-9.38,33.92,17.09
2010-03-25 03:57:30,4,6.23,44.52,1.5
2010-03-25 03:57:30,3,6.61,45.97,3.38
2010-03-24 23:12:30,16,-6.5,34.87,25.63
2010-03-24 23:12:30,15,-6.46,34.52,25.63
2010-03-24 23:12:30,14,-6.54,34.51,25.63
2010-03-24 23:12:30,13,-5.94,35.98,11.4
2010-03-24 23:12:30,12,-5.99,35.96,17.09
2010-03-24 23:12:30,11,-5.94,35.98,38.45
2010-03-24 23:12:30,9,-4.73,36.5,11.4
2010-03-24 23:12:30,8,-4.68,36.48,17.09
